steamid,steamid64,name,nationality
0:0:14286749,76561197988839226,royoo,ru
0:0:29719966,76561198019705660,biyo,ru
0:0:24090982,76561198008447692,DeenirO_o,ru
0:0:11977445,76561197984220618,Deeniro,ru
0:0:48384196,76561198057034120,p!cN1ck,ru
0:0:94742120,76561198149749968,p!cN1ck,ru
0:1:33028512,76561198026322753,WoftN,ru
0:1:49780659,76561198059827047,acer,ru
0:0:44919026,76561198050103780,Ranger,ru
0:0:461069,76561197961187866,Brynzin,ru
0:0:547688,76561197961361104,Kane,ru
0:0:7450544,76561197975166816,high,ru
0:0:1137825,76561197962541378,copaface,ru
0:0:327695,76561197960921118,Awake,ru
0:0:14891251,76561197990048230,YaLTeR,ru
0:1:10028,76561197960285785,DimmY,ru
0:1:52411730,76561198065089189,royo,ru
0:1:63118212,76561198086502153,I Lepsikkk I,ru
0:0:5154546,76561197970574820,robo,ru
0:1:110855244,76561198181976217,TheRelaxingWin,ru
0:0:65546441,76561198091358610,DimaZombie,ru
0:1:112212645,76561198184691019,kulach0k,ru
0:0:31767284,76561198023800296,OP4,ru
0:0:196515508,76561198353296744,-taNtrA~,ru
0:0:49394359,76561198059054446,v0id,ru
0:0:80509248,76561198121284224,raintnt,ru
0:0:70848222,76561198101962172,shar,ru
0:1:62149726,76561198084565181,_Smiley,ru
0:1:172041304,76561198304348337,MalinovayaAgonia,ru
0:0:73739339,76561198107744406,bkmz,ru
0:0:464836690,76561198889939108,Sobaka_Ruzhaya,ru
0:1:84102866,76561198128471461,oopskurt,ru
0:0:1955915,76561197964177558,down,ru
0:0:19378405,76561197999022538,viet/bern,ru
0:0:34071652,76561198028409032,nyoRRkish,ru
0:0:81193057,76561198122651842,SibirskiyMedved,ru
0:0:467804435,76561198895874598,HeadCrab4ik,ru
0:1:68349904,76561198096965537,ProfessorShady,ru
0:1:90691326,76561198141648381,ItsNeverLight,ru
0:0:178483875,76561198317233478,vendami,ru
0:0:23034995,76561198006335718,wartoshka,ru
0:0:53077111,76561198066419950,Logko,ru
0:0:151169431,76561198262604590,faxz,ru
0:0:549721682,76561199059709092,Zillion,ru
0:1:173283927,76561198306833583,5monde,ru
0:1:535721718,76561199031709165,popokocool,ru
0:0:41434920,76561198043135568,Be Happy,ru
0:0:522886654,76561199006039036,Vernis,ru
0:0:85428728,76561198131123184,Artem_Padya,ru
0:1:167351634,76561198294968997,Mrkocmocc,ru
0:1:93910488,76561198148086705,qv2b,ru
0:1:169656253,76561198299578235,jorikgrozniy,ru
0:0:153575957,76561198267417642,grach,ru
0:1:90273366,76561198140812461,P4elkin,ru
0:1:122829900,76561198205925529,surfgamer,ru
0:0:85854020,76561198131973768,Freelancer,ru
0:0:441582327,76561198843430382,YouSon,ru
0:1:37523633,76561198035312995,JeaN,ru
0:0:90266823,76561198140799374,greatbeast666,ru
0:0:62678787,76561198085623302,derf4,ru
0:0:506812425,76561198973890578,Gorlix,ru
0:0:245741470,76561198451748668,HitHeiv,ru
0:0:225219541,76561198410704810,yandi505,ru
0:1:11151702,76561197982569133,JAG,ru
0:1:207403352,76561198375072433,MrVilka15,ru
0:0:220206269,76561198400678266,de_fer,ru
0:0:22383509,76561198005032746,Cavej,ru
0:1:418655277,76561198797576283,nexx,ru
0:0:481150761,76561198922567250,gamepad,ru
0:1:10361831,76561197980989391,Cache,ru
0:1:452361416,76561198864988561,inoshepotyanin228,ru
